EmployeeNumber,Age,Gender,Department,JobRole,DistanceFromHome,MonthlyIncome,Education,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,PerformanceRating,RelationshipSatisfaction,WorkLifeBalance,Attrition,OverTime,MaritalStatus,BusinessTravel,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,TotalWorkingYears,TrainingTimesLastYear,NumCompaniesWorked,StockOptionLevel
1,41,Female,Sales,Sales Executive,1,5993,2,2,3,4,3,1,1,Yes,Yes,Single,Travel_Rarely,6,4,5,8,0,8,0
2,49,Male,Research & Development,Research Scientist,8,5130,1,3,2,2,4,4,3,No,No,Married,Travel_Frequently,10,7,7,10,3,1,1
4,37,Male,Research & Development,Laboratory Technician,2,2090,2,4,2,3,3,2,3,Yes,Yes,Single,Travel_Rarely,0,0,0,7,3,6,0
5,33,Female,Research & Development,Research Scientist,3,2909,4,4,3,3,3,3,3,No,Yes,Married,Travel_Frequently,8,7,0,8,3,1,0
7,27,Male,Research & Development,Laboratory Technician,2,3468,1,1,3,2,3,4,3,No,No,Married,Travel_Rarely,2,2,2,6,3,9,1
8,32,Male,Research & Development,Laboratory Technician,2,3068,2,4,3,4,3,3,2,No,No,Single,Travel_Frequently,7,7,6,8,2,0,0
10,59,Female,Research & Development,Laboratory Technician,3,2670,3,3,4,1,4,1,2,No,Yes,Married,Travel_Rarely,1,0,0,12,3,4,3
11,30,Male,Research & Development,Laboratory Technician,24,2693,1,4,3,3,4,2,3,No,No,Divorced,Travel_Rarely,1,0,0,1,2,1,1
12,38,Male,Research & Development,Manufacturing Director,23,9526,3,4,2,3,4,2,3,No,No,Single,Travel_Frequently,9,7,8,10,2,0,0
13,36,Male,Research & Development,Healthcare Representative,27,5237,3,3,3,3,3,2,2,No,No,Married,Travel_Rarely,7,7,7,17,3,6,2
14,35,Male,Research & Development,Laboratory Technician,16,2426,3,1,4,2,3,3,3,No,No,Married,Travel_Rarely,5,4,3,6,5,0,1
15,29,Female,Research & Development,Laboratory Technician,15,4193,2,4,2,3,3,4,3,No,Yes,Single,Travel_Rarely,9,5,8,10,3,0,0
16,31,Male,Research & Development,Research Scientist,26,2911,1,1,3,3,3,4,2,No,No,Divorced,Travel_Rarely,5,2,3,5,1,1,1
18,34,Male,Research & Development,Laboratory Technician,19,2661,2,2,3,4,3,3,3,No,No,Divorced,Travel_Rarely,2,2,2,3,2,0,1
19,28,Male,Research & Development,Laboratory Technician,24,2028,3,3,2,3,3,2,3,Yes,Yes,Single,Travel_Rarely,4,2,3,6,4,5,0
20,29,Female,Research & Development,Manufacturing Director,21,9980,4,2,4,1,3,3,3,No,No,Divorced,Travel_Rarely,10,9,8,10,1,1,1
21,32,Male,Research & Development,Research Scientist,5,3298,2,1,4,2,3,4,2,No,Yes,Divorced,Travel_Rarely,6,2,5,7,5,0,2
22,22,Male,Research & Development,Laboratory Technician,16,2935,2,4,4,4,3,2,2,No,Yes,Divorced,Non-Travel,1,0,0,1,2,1,2
23,53,Female,Sales,Manager,2,15427,4,1,2,4,3,3,3,No,No,Married,Travel_Rarely,25,8,7,31,3,2,0
24,38,Male,Research & Development,Research Scientist,2,3944,3,4,3,4,3,3,3,No,Yes,Single,Travel_Rarely,3,2,2,6,3,5,0
26,24,Female,Research & Development,Manufacturing Director,11,4011,2,1,4,3,3,4,2,No,No,Divorced,Non-Travel,4,2,3,5,5,0,1
27,36,Male,Sales,Sales Representative,9,3407,4,3,2,1,4,2,3,Yes,No,Single,Travel_Rarely,5,3,3,10,4,7,0
28,34,Female,Research & Development,Research Director,7,11994,4,1,3,2,3,3,3,No,No,Single,Travel_Rarely,12,6,11,13,4,0,0
30,21,Male,Research & Development,Research Scientist,15,1232,2,3,3,4,3,4,3,No,No,Single,Travel_Rarely,0,0,0,0,6,1,0
31,34,Male,Research & Development,Research Scientist,6,2960,1,2,3,1,3,3,3,Yes,No,Single,Travel_Rarely,4,2,3,8,2,2,0
32,53,Female,Research & Development,Manager,5,19094,3,3,3,3,3,4,2,No,No,Divorced,Travel_Rarely,14,13,8,26,3,4,1
33,32,Female,Research & Development,Research Scientist,16,3919,1,2,1,1,4,2,3,Yes,Yes,Single,Travel_Frequently,10,2,7,10,5,1,0
35,42,Male,Sales,Sales Executive,8,6825,4,3,3,2,3,4,3,No,No,Married,Travel_Rarely,9,7,2,10,2,0,1
36,44,Female,Research & Development,Healthcare Representative,7,10248,4,1,2,4,3,4,3,No,No,Married,Travel_Rarely,22,6,17,24,4,3,1
38,46,Female,Sales,Manager,2,18947,4,2,3,1,3,4,2,No,No,Single,Travel_Rarely,2,2,1,22,2,3,0
39,33,Male,Research & Development,Laboratory Technician,2,2496,3,3,3,4,3,4,3,No,No,Single,Travel_Rarely,1,1,0,7,3,4,0
40,44,Male,Research & Development,Healthcare Representative,10,6465,4,4,3,4,3,4,4,No,Yes,Married,Travel_Rarely,4,2,3,9,5,2,0
41,30,Male,Research & Development,Laboratory Technician,9,2206,2,4,2,3,3,1,3,No,No,Single,Travel_Rarely,10,0,8,10,5,1,0
42,39,Male,Sales,Sales Representative,5,2086,3,4,3,4,3,3,4,Yes,No,Married,Travel_Rarely,1,0,0,19,6,3,1
45,24,Male,Research & Development,Research Scientist,1,2293,3,2,3,4,3,1,2,Yes,Yes,Married,Travel_Rarely,2,0,0,6,2,2,1
46,43,Female,Research & Development,Research Scientist,2,2645,2,4,4,3,3,4,2,No,No,Divorced,Travel_Rarely,5,3,4,6,3,1,2
